RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
9268,15580912,0,748,0,0,32,5,154737.88,2,1,1,172638.13,0
1290,15688880,1,672,1,0,40,10,102980.44,1,1,0,1285.81,1
5480,15648766,2,569,2,0,35,3,116969.35,1,0,0,94488.82,0
9597,15755084,3,531,0,0,37,7,121854.45,1,1,0,147521.35,0
338,15648064,4,649,0,0,33,2,0.0,2,1,0,2010.98,0
7183,15573520,5,692,1,0,49,6,110540.43,2,0,1,107472.99,0
8129,15682928,6,695,2,0,39,4,65521.2,1,1,1,1243.97,0
2441,15790659,7,701,2,0,59,7,0.0,2,0,1,27597.59,0
4747,15649129,8,757,0,0,32,9,0.0,2,1,0,115950.96,0
4926,15790282,9,817,1,0,58,3,114327.59,2,1,1,42831.11,0
8278,15765283,10,624,1,1,40,3,149961.99,2,1,0,104610.86,0
1300,15795166,11,618,1,0,42,8,153572.31,2,1,1,76679.6,0
1086,15646513,12,803,0,0,42,5,0.0,1,1,0,196466.83,1
1802,15774931,13,452,0,0,30,7,112935.87,1,1,1,99017.34,0
7386,15660144,14,660,0,0,38,4,0.0,2,0,0,88080.43,0
7690,15777452,15,587,0,1,46,6,88820.29,1,0,0,70224.34,0
7174,15636521,16,744,2,1,30,1,124037.28,1,1,1,142210.94,0
1945,15687310,17,783,2,0,39,9,0.0,2,1,0,143752.77,0
9490,15777907,18,791,0,1,33,3,0.0,1,1,1,144413.92,1
4091,15681220,19,503,0,1,37,8,0.0,2,1,1,97893.32,0
7329,15689786,20,850,1,0,56,1,169743.83,1,0,0,155850.4,1
4402,15689633,21,845,2,1,38,2,112803.92,1,1,0,179631.85,0
2871,15651093,22,707,0,1,55,1,0.0,2,0,1,54409.48,0
5433,15616471,23,599,2,0,51,0,0.0,1,1,1,175235.99,0
3634,15629846,24,827,1,1,47,8,143001.5,2,1,0,108977.5,0
8327,15813645,25,491,0,1,36,0,53369.13,1,1,1,103934.12,0
8605,15646942,26,786,2,1,39,7,0.0,2,0,0,100929.59,0
833,15797964,27,732,1,1,29,1,154333.82,1,1,1,138527.56,0
7970,15652030,28,637,1,0,49,2,108204.52,1,1,0,169037.84,1
7555,15569917,29,706,2,0,30,6,87609.68,2,0,0,137674.55,1
8406,15801351,30,583,0,0,40,3,0.0,2,1,0,47728.0,0
4934,15787597,31,420,1,1,31,1,108377.75,2,1,1,9904.63,0
672,15674991,32,667,0,0,42,9,0.0,2,0,1,58137.42,0
3361,15726796,33,844,0,0,38,7,111501.66,1,1,1,119333.38,0
2858,15769829,34,534,2,0,51,3,0.0,2,0,1,20856.31,0
4993,15783019,35,794,0,1,62,9,123681.32,3,1,0,173586.63,1
7412,15698749,36,626,1,1,23,6,85897.95,1,1,0,109742.8,0
1443,15796179,37,683,0,0,43,8,0.0,1,1,0,96754.8,0
7801,15795759,38,698,1,1,52,1,107906.75,1,1,0,168886.39,1
7410,15688059,39,807,1,1,42,9,105356.09,2,1,1,130489.37,0
5312,15584338,40,714,0,1,40,0,0.0,2,1,0,62762.12,0
3493,15626491,41,655,0,1,45,7,57327.04,1,0,1,47349.0,0
9440,15692226,42,705,0,1,31,3,142905.51,1,1,1,58134.97,0
282,15669169,43,775,2,0,29,10,0.0,2,1,1,68143.93,0
8826,15797081,44,611,1,1,49,9,115488.52,2,1,1,138656.81,1
1382,15714466,45,846,0,1,41,5,0.0,3,1,0,3440.47,1
1728,15734491,46,676,2,1,36,4,0.0,2,1,1,3173.31,0
3558,15594827,47,675,0,0,34,1,124619.33,2,0,1,163667.56,0
1999,15779497,48,603,0,0,43,5,127823.93,1,1,1,19483.35,0
5479,15774336,49,648,1,0,44,9,111369.79,2,1,1,91947.74,0
2503,15782659,50,527,0,0,32,0,0.0,1,1,0,109523.88,0
16,15643966,51,616,1,0,45,3,143129.41,2,0,1,64327.26,0
2205,15762803,52,509,0,0,31,3,0.0,2,1,0,15360.91,0
5395,15668853,53,637,2,1,44,0,157622.58,1,1,1,120454.2,0
6332,15701074,54,629,1,0,35,8,112330.83,1,1,1,91001.02,0
8308,15626243,55,618,0,0,30,3,133844.22,1,1,1,31406.93,0
601,15683503,56,601,0,1,43,8,0.0,3,0,1,110916.15,1
6911,15709199,57,511,2,1,40,1,0.0,1,1,1,184118.73,0
888,15625021,58,585,0,0,42,2,0.0,2,1,1,18657.77,0
7833,15664849,59,573,2,0,46,3,65269.23,1,0,1,189988.65,1
8640,15654891,36,811,0,0,30,6,0.0,2,1,1,180591.32,0
7578,15581700,60,615,1,0,43,3,86920.86,1,1,1,150048.37,0
7028,15748552,8,464,1,0,37,4,155994.15,1,0,0,143665.44,0
7884,15776051,32,551,0,1,45,6,0.0,2,1,1,51143.43,0
6589,15693817,61,539,2,0,28,5,0.0,2,1,0,48382.4,0
7978,15588341,62,647,2,0,47,10,99835.17,1,0,1,89103.05,0
3971,15634310,63,509,0,0,30,6,0.0,2,1,0,180598.86,0
785,15571221,38,747,1,0,58,7,116313.57,1,1,1,190696.35,1
5486,15753837,64,573,2,0,38,4,0.0,2,1,1,196517.43,0
1507,15599956,65,747,0,0,27,10,0.0,2,0,0,13007.89,0
9078,15810732,66,730,0,1,36,8,148749.29,2,1,0,91830.75,0
8418,15689288,67,630,0,1,26,5,0.0,2,1,0,182612.38,0
7311,15740487,68,627,0,1,41,6,0.0,3,1,1,138700.75,1
9655,15773098,69,834,2,0,34,5,0.0,2,0,0,53437.1,0
3629,15573319,70,493,1,1,35,8,178317.6,1,0,0,197428.64,0
4020,15592091,71,620,2,0,31,2,166833.86,2,1,1,135171.6,0
9152,15747974,72,614,0,0,49,1,0.0,2,1,0,192440.54,0
2892,15774224,73,613,1,1,30,5,131563.88,2,1,0,170638.98,0
2645,15735263,74,736,0,0,27,5,51522.75,1,0,1,192131.77,0
4787,15749799,75,577,0,1,34,2,0.0,2,1,1,84033.35,0
3612,15734246,13,746,0,1,21,8,166883.07,2,0,1,194563.65,0
55,15569590,76,601,1,0,42,1,98495.72,1,1,0,40014.76,1
8053,15770121,77,623,0,1,34,9,0.0,1,1,0,24255.21,0
1358,15746326,78,591,0,0,43,3,0.0,2,0,1,198926.36,0
6932,15808930,79,531,0,1,37,1,0.0,1,1,0,4606.97,0
875,15674840,6,645,0,1,38,5,101430.3,2,0,1,4400.32,0
7106,15597536,80,576,2,0,45,5,133618.01,1,0,0,135244.87,0
2958,15789109,81,686,0,1,41,10,0.0,1,1,1,144272.71,1
3761,15734970,82,835,2,0,38,7,86824.09,1,0,0,175905.97,0
7467,15586174,83,700,1,1,30,4,116377.48,1,1,1,134417.31,0
5205,15704231,84,430,0,1,33,8,0.0,1,1,1,69759.91,0
3549,15776827,85,770,1,0,37,5,141547.26,2,0,1,180326.83,0
5179,15794849,86,850,1,0,22,7,91560.58,2,0,0,10541.38,0
2105,15719561,87,768,0,0,42,5,0.0,3,0,0,60686.4,0
130,15591607,88,770,0,0,24,9,101827.07,1,1,0,167256.35,0
8906,15661745,89,557,0,0,36,3,0.0,1,0,1,144078.02,0
4009,15612505,90,835,2,0,45,3,100212.13,1,1,0,152577.62,0
9826,15701936,91,467,1,0,28,10,126315.26,1,1,0,32349.29,1
2561,15711834,92,650,2,1,30,6,0.0,1,0,0,67997.13,1
2365,15796343,93,707,0,1,31,2,82787.93,2,0,0,91423.69,0
2506,15720284,94,607,1,1,37,4,135927.06,1,0,0,180890.4,0
3350,15603465,95,665,1,1,45,5,155447.65,2,1,0,51871.95,1
342,15786170,96,659,0,0,31,4,118342.26,1,0,0,161574.19,0
1404,15721487,97,739,0,1,27,6,0.0,1,1,1,57572.38,0
1908,15810786,98,620,0,1,67,3,0.0,2,1,1,43486.73,0
6009,15700937,99,767,2,1,24,5,0.0,2,1,1,67445.85,0
2400,15672516,100,541,1,0,51,7,90373.28,2,1,0,179861.79,0
6423,15595037,101,772,0,0,47,9,152347.01,1,0,1,17671.78,0
3438,15619436,102,700,0,1,32,3,0.0,1,0,0,95740.37,0
5554,15651450,103,666,1,0,31,3,123212.08,2,1,1,112157.31,0
3029,15675185,104,697,1,1,48,2,108128.96,2,1,1,103944.37,0
9231,15768465,105,582,1,0,35,8,121309.17,2,1,1,28750.67,0
6794,15611669,106,623,1,0,50,7,126608.37,1,0,1,645.61,1
6134,15620735,107,667,1,1,33,4,127076.68,2,1,0,69011.66,0
9957,15707861,108,520,0,1,46,10,85216.61,1,1,0,117369.52,1
2736,15791131,109,551,1,1,30,2,143340.44,1,1,0,145796.49,0
7787,15566380,110,586,2,1,33,10,66948.67,2,1,1,140759.03,0
6209,15729804,111,714,0,0,34,10,0.0,2,1,1,80234.14,0
6198,15645200,112,581,1,1,54,2,152508.99,1,1,0,187597.98,1
9591,15594786,48,772,1,0,34,7,111565.91,1,1,1,121073.23,0
4575,15739514,113,659,0,1,32,9,0.0,2,1,1,93155.75,0
8455,15619083,114,502,0,1,35,6,0.0,2,1,1,80618.47,0
8573,15611223,63,752,1,1,38,10,101648.5,2,1,0,172001.44,0
904,15786014,115,568,0,0,28,5,145105.64,2,1,0,185489.11,0
2188,15589320,116,699,2,0,34,8,0.0,1,1,1,76510.46,0
6574,15690332,117,647,1,0,35,3,192407.97,1,1,1,40145.28,0
8741,15570908,118,687,2,1,29,7,93617.07,1,0,1,113050.92,0
9182,15655368,119,672,0,0,47,1,0.0,1,0,0,91574.92,0
6719,15744553,120,444,0,0,34,2,144318.97,1,1,0,112668.06,0
3911,15698716,121,620,0,1,70,3,87926.24,2,1,0,33350.26,1
5561,15631436,122,564,0,0,35,4,0.0,1,1,0,158937.55,0
5261,15731281,123,704,1,1,35,3,154206.07,2,1,1,40261.49,0
7790,15621466,124,606,1,0,38,3,99897.53,1,0,0,37054.65,0
3735,15679733,125,796,1,0,40,2,113228.38,2,1,1,46415.09,0
4317,15720774,126,850,2,0,44,7,89118.26,1,1,0,104240.77,1
1299,15572360,127,683,0,0,30,10,57657.49,1,0,0,79240.9,0
8628,15777830,128,639,0,1,42,4,0.0,2,0,0,167682.37,0
5524,15625586,129,717,0,0,35,4,0.0,1,1,1,167573.06,0
956,15571002,130,706,0,1,44,4,129605.99,1,0,0,69865.49,0
1336,15576683,131,568,2,1,43,9,0.0,1,1,0,125870.79,1
7882,15727138,132,774,2,0,46,9,0.0,2,1,1,34774.26,0
9346,15758048,133,582,0,0,50,2,148942.0,1,1,1,116944.3,0
2634,15766776,8,576,0,0,41,1,0.0,1,1,1,188274.6,0
1825,15770498,134,798,0,1,37,4,111723.08,1,1,1,83478.12,0
2965,15679760,135,721,0,0,46,1,115764.32,2,0,0,102950.79,0
6896,15694765,72,610,1,0,49,6,113882.33,1,1,0,195813.81,1
1630,15595303,136,736,1,0,46,5,130812.91,1,1,1,77981.54,1
8760,15757981,137,748,0,0,66,8,0.0,1,1,1,163331.65,0
1519,15634375,138,710,2,1,36,8,0.0,2,0,0,83206.19,0
9416,15750407,139,768,1,1,43,2,129264.05,2,0,0,19150.14,0
3263,15654456,140,511,1,0,48,6,149726.08,1,0,0,88307.87,1
2024,15731890,141,601,0,0,41,1,123971.16,1,0,1,172814.99,0
509,15773890,142,733,0,0,22,5,0.0,2,1,1,117202.19,0
6985,15622631,143,588,0,0,44,8,154409.74,1,1,0,49324.03,1
1589,15758035,144,747,0,0,61,7,155973.13,1,0,1,147554.26,0
