RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
3189,15586757,Anenechukwu,801,France,Female,32,4,75170.54,1,1,1,37898.5,0
8294,15770711,Lu,766,Germany,Female,28,4,90696.78,1,0,1,21597.2,0
1711,15567993,Palmer,828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0
7511,15729377,Ku,798,France,Male,36,1,0.0,2,1,1,159044.1,0
1462,15640627,Wan,611,Spain,Male,34,4,0.0,2,1,0,170950.58,0
658,15698474,Sagese,601,Germany,Female,54,1,131039.97,2,1,1,199661.5,0
2918,15621083,Douglas,698,France,Male,57,6,136325.48,2,1,1,72549.27,1
1536,15614818,Trevisani,764,Spain,Female,33,9,168964.77,1,0,1,118982.51,0
1217,15682528,Cremonesi,572,France,Male,33,5,0.0,1,0,1,41139.05,0
3367,15684010,Tuan,640,Germany,Female,74,2,116800.25,1,1,1,34130.43,0
4442,15628279,Murphy,624,France,Female,38,3,0.0,2,1,1,163666.85,0
6500,15702561,Dale,782,France,Male,32,9,0.0,1,1,1,87566.97,0
1800,15612776,McKay,850,Spain,Female,39,10,0.0,2,1,1,143030.09,0
2793,15742820,Trevisano,535,France,Female,45,2,0.0,2,0,1,170621.55,0
5185,15677146,Obiajulu,728,France,Female,28,4,142243.54,2,1,0,33074.51,0
2225,15691723,Chukwudi,631,Spain,Male,55,9,99685.06,1,1,0,114474.98,0
3844,15677804,Aliyeva,783,Spain,Male,38,1,0.0,3,1,1,80178.54,1
2902,15603246,Genovesi,498,France,Male,73,2,170241.7,2,1,1,165407.96,0
269,15717398,Fielding,549,Spain,Female,39,7,0.0,1,0,0,81259.25,1
9326,15786389,Chuang,635,Spain,Female,41,10,0.0,2,1,1,61994.2,0
2774,15610765,Onwumelu,559,France,Male,29,1,0.0,2,0,0,155639.76,0
4838,15708256,Chien,803,France,Male,28,3,0.0,2,1,0,159654.0,0
9867,15632446,Allan,667,France,Male,24,4,0.0,2,0,0,180329.83,0
5238,15702566,Lombardo,554,Spain,Male,26,8,149134.46,1,1,1,177966.24,0
4681,15729582,Fu,676,Germany,Male,48,3,80697.44,1,0,0,101397.86,0
4724,15790658,Iqbal,621,Spain,Male,42,8,68683.68,1,1,1,74157.71,0
7990,15605827,Khan,645,France,Male,39,8,0.0,2,0,0,96864.36,0
3256,15671387,Fetherstonhaugh,507,France,Female,29,4,89349.47,2,0,0,180626.68,0
9115,15605737,George,541,France,Male,36,5,0.0,2,1,0,124795.84,0
